,Speed (m/s),Power (kW)
0,0.0,0.0
1,0.5488463426607815,0.0
2,0.8880860333824337,0.0
3,1.4678448699067403,5.90217792442137
4,1.766200294550828,15.192062677237768
5,2.064555719194916,23.19168565883009
6,2.3524791359843125,37.714078148489314
7,2.6845150431306735,60.04524830720594
8,2.948320651284588,78.01748884170253
9,3.2644353273955917,107.86849365245924
10,3.568990345279028,141.73784057068804
11,3.8508135212848362,172.68333443390182
12,4.083879479626935,211.8563423708226
13,4.304481672394079,249.54396369415838
14,4.57258578286519,299.1926726861338
15,4.804071065441215,339.0290241869335
16,4.978945753559188,381.14900884965084
17,5.191123309680047,417.0538779093405
18,5.482081492390814,487.37987320752563
19,5.667423498609111,529.4519835590364
20,5.906060253727145,601.175492530513
21,6.144663019847159,644.8657931471607
22,6.3564824555252155,689.5765004591458
23,6.579339045833944,721.4710341513753
24,6.817577202702437,776.15615491473
25,7.299337260677518,843.6949512159304
26,7.868924889543485,901.4991700950832
27,8.14015709376536,934.4261589684402
28,8.718785796105387,969.066738356057
29,9.052773686794295,980.05
30,9.608001963672073,995.0
31,9.955717660775655,997.5102826180364
32,10.967430092103108,998.6811951754157
33,12.0,1000.0
34,12.795335107453628,1000.0
35,16.45114513815466,1000.0
36,18.0,1000.0
37,18.0001,0.0
38,25.0,0.0
